127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000512
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.000518
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000447
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.000445
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.000521
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/js/web2py.js, HTTP/1.1, 304, 0.000445
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002307
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003885
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.002682
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001948
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000969
127.0.0.1, 2014-02-19 11:36:11, GET, /CostEstimate/static/js/share.js, HTTP/1.1, 304, 0.004361
127.0.0.1, 2014-02-19 11:36:12, GET, /CostEstimate/static/images/facebook.png, HTTP/1.1, 304, 0.000954
127.0.0.1, 2014-02-19 11:36:12, GET, /CostEstimate/static/images/twitter.png, HTTP/1.1, 304, 0.001695
127.0.0.1, 2014-02-19 11:36:12, GET, /CostEstimate/static/images/gplus-32.png, HTTP/1.1, 304, 0.000724
127.0.0.1, 2014-02-19 11:36:13, GET, /CostEstimate/submit_addresses.html, HTTP/1.1, 400, 0.000334
127.0.0.1, 2014-02-19 11:36:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2014-02-19 11:36:16, GET, /CostEstimate/home, HTTP/1.1, 200, 0.019327
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/home, HTTP/1.1, 200, 0.019323
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000718
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000479
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/js/jquery.js, HTTP/1.1, 304, 0.001097
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/js/calendar.js, HTTP/1.1, 304, 0.000969
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/css/web2py.css, HTTP/1.1, 304, 0.001877
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/css/calendar.css, HTTP/1.1, 304, 0.000523
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000621
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002146
127.0.0.1, 2014-02-19 11:36:23, GET, /CostEstimate/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000836
